date,ticker,close
2025-01-03,IQQBDA,12.48
2025-01-07,IQQBDA,12.46
2025-01-08,IQQBDA,12.47
2025-01-10,IQQBDA,12.32
2025-01-13,IQQBDA,12.3
2025-01-14,IQQBDA,12.28
2025-01-15,IQQBDA,12.52
2025-01-16,IQQBDA,12.5
2025-01-21,IQQBDA,12.78
2025-01-22,IQQBDA,12.95
2025-01-23,IQQBDA,12.98
2025-01-24,IQQBDA,12.89
2025-01-27,IQQBDA,12.48
2025-01-28,IQQBDA,12.61
2025-01-29,IQQBDA,12.63
2025-01-30,IQQBDA,12.8
2025-01-31,IQQBDA,12.78
2025-02-03,IQQBDA,12.71
2025-02-04,IQQBDA,12.84
2025-02-05,IQQBDA,12.98
2025-02-06,IQQBDA,13.02
2025-02-07,IQQBDA,13.06
2025-02-10,IQQBDA,13.01
2025-02-11,IQQBDA,12.96
2025-02-12,IQQBDA,12.93
2025-02-13,IQQBDA,13.13
2025-02-14,IQQBDA,13.14
2025-02-18,IQQBDA,13.11
2025-02-19,IQQBDA,13.1
2025-02-20,IQQBDA,13.1
2025-02-21,IQQBDA,12.83
2025-02-24,IQQBDA,12.71
2025-02-25,IQQBDA,12.56
2025-02-26,IQQBDA,12.67
2025-02-27,IQQBDA,12.33
2025-02-28,IQQBDA,12.55
2025-03-03,IQQBDA,12.29
2025-03-04,IQQBDA,12.23
2025-03-05,IQQBDA,12.38
2025-03-06,IQQBDA,12.03
2025-03-07,IQQBDA,12.12
2025-03-10,IQQBDA,11.69
2025-03-11,IQQBDA,11.64
2025-03-12,IQQBDA,11.81
2025-03-13,IQQBDA,11.61
2025-03-14,IQQBDA,11.91
2025-03-17,IQQBDA,11.99
2025-03-18,IQQBDA,11.83
2025-03-19,IQQBDA,11.96
2025-03-20,IQQBDA,11.91
2025-03-21,IQQBDA,11.91
2025-03-24,IQQBDA,12.14
2025-03-25,IQQBDA,12.18
2025-03-26,IQQBDA,12.0
2025-03-27,IQQBDA,11.96
2025-03-28,AAPL,217.9
2025-03-28,IQQBDA,11.68
2025-03-31,AAPL,222.13
2025-03-31,IQQBDA,11.7
2025-04-01,AAPL,223.19
2025-04-01,IQQBDA,11.77
2025-04-02,AAPL,223.89
2025-04-02,IQQBDA,11.84
2025-04-03,AAPL,203.19
2025-04-03,IQQBDA,11.25
2025-04-04,AAPL,188.38
2025-04-04,IQQBDA,10.72
2025-04-07,AAPL,181.46
2025-04-07,IQQBDA,10.57
2025-04-08,AAPL,172.42
2025-04-08,IQQBDA,10.41
2025-04-09,AAPL,198.85
2025-04-09,IQQBDA,11.58
2025-04-10,AAPL,190.42
2025-04-10,IQQBDA,11.12
2025-04-11,AAPL,198.15
2025-04-11,IQQBDA,11.3
2025-04-14,AAPL,202.52
2025-04-14,IQQBDA,11.37
2025-04-15,AAPL,202.14
2025-04-15,IQQBDA,11.41
2025-04-16,AAPL,194.27
2025-04-16,IQQBDA,11.18
2025-04-17,AAPL,196.98
2025-04-17,IQQBDA,11.18
2025-04-21,AAPL,193.16
2025-04-21,IQQBDA,11.18
2025-04-22,AAPL,199.74
2025-04-22,IQQBDA,10.87
2025-04-23,AAPL,204.6
2025-04-24,AAPL,208.37
2025-04-25,AAPL,209.28
2025-04-28,AAPL,210.14
2025-04-29,AAPL,211.21
2025-04-30,AAPL,212.5
2025-05-01,AAPL,213.32
2025-05-02,AAPL,205.35
2025-05-05,AAPL,198.89
2025-05-06,AAPL,198.51
2025-05-07,AAPL,196.25
2025-05-08,AAPL,197.49
